,fips,area,population,percent_seniors,percent_poverty,percent_uninsured,income,vent,icu,percent_smoker,percent_inactive,population_density
52,1109,672.067488,33403,14.62742867,25.06960453,9.520102985,21137,2,9,20.60465618,27.8,49.70185375
53,1111,580.5491197,22574,19.98759635,17.3296713,10.38805706,23247,1,3,18.99835753,34.2,38.88387603
54,1113,641.1523375,58213,13.35784103,19.73957707,13.03832477,22055,4,10,21.79131984,31.5,90.79433482
55,1115,631.6030046,87306,15.91070488,12.90632946,8.651180904,24861,2,6,18.33530128,30.7,138.2292348
56,1117,785.3750191,211261,14.25961252,8.310573177,6.761304737,36576,6,32,15.56115747,25,268.9937862
57,1119,903.8257529,12985,16.92722372,29.20292645,15.32537543,15882,0,6,22.49191497,37.6,14.36670725
58,1121,736.7818207,80565,17.0756532,19.11624154,8.93936573,22498,4,14,23.15986226,34.9,109.3471605
59,1123,716.5214703,40636,20.36125603,20.00935131,7.94861699,23655,2,14,18.18006719,30,56.71288536
60,1125,1320.858496,206213,12.45556779,16.51593256,7.476250285,26064,33,57,17.8726324,30,156.1204328
61,1127,791.0017929,64493,18.64388383,19.42071233,10.83373389,22772,4,12,22.68098456,35.7,81.53331709
62,1129,1080.205426,16643,18.25392057,20.70540167,9.481463678,22776,1,3,20.79009208,34.1,15.40725458
63,1131,888.4496913,10809,18.36432602,30.10454251,11.3146452,16584,0,4,22.06663015,36.8,12.16613625
64,1133,612.9789792,23875,21.05549738,15.98743455,12.15078534,21799,2,4,19.6479681,32.2,38.94913335
65,12001,875.0325974,263148,13.2260173,20.54813261,9.098302096,27896,52,233,16.38085209,23.5,300.729368
66,12003,585.229847,27785,13.77361886,13.18697139,11.31185892,24070,0,4,22.73195642,33.4,47.47707271
67,12005,758.5304618,182482,16.52765752,14.45402834,13.83752918,28017,20,77,22.70820448,30.6,240.5730675
68,12007,293.9634353,26979,17.78049594,17.58034026,10.75651433,20481,2,4,22.94073778,33.2,91.77672037
69,12009,1015.180567,576808,23.07232216,12.57264116,10.67842332,30987,54,288,16.86641229,26.8,568.182665
70,12011,1203.103962,1909151,15.92231311,13.36793161,14.52598563,31464,93,525,14.59379255,25,1586.854553
71,12013,567.3344892,14444,18.41595126,10.44724453,15.75048463,18921,2,3,22.38488545,40.9,25.45940759
72,12015,681.1065628,176954,39.01918013,10.87966364,11.05202482,30528,19,51,15.76080571,26.2,259.8036925
73,12017,581.9106494,143087,35.89284841,16.37954531,10.19659368,25983,14,40,19.58715605,34.8,245.891702
74,12019,604.7806326,207291,14.92153543,10.53157156,10.21221375,29138,20,42,19.88600481,28.4,342.7540315
75,12021,1996.313931,363922,30.85249037,12.17513643,16.41395684,43256,23,81,14.44190985,23.2,182.2969796
76,12023,797.5500476,69105,17.97843861,16.08421967,11.59250416,23901,7,28,23.29481531,36.9,86.64660006
77,12027,636.692837,36399,21.31926701,26.98975247,17.56366933,18311,2,8,21.3119303,36.3,57.16885425
78,12031,762.9351512,924229,13.3603252,15.12157701,11.71181601,30012,90,416,19.79015836,26.4,1211.412266
79,12033,656.9697353,311522,16.20174498,13.09056824,9.708784612,26730,40,111,20.24583017,29.5,474.1801384
80,12035,485.1447916,107139,29.47572779,11.7370892,12.63498819,27689,3,18,17.42753178,26.3,220.8392254
81,12037,545.1406517,11736,21.42978868,17.81697342,15.81458759,25037,1,4,19.52304626,31.8,21.52838898
82,12039,516.2934457,46017,16.54605907,22.77853837,13.98178934,20158,0,4,20.37359451,35.4,89.12954519
83,12045,553.420848,16055,19.90034257,11.83431953,9.685456244,21255,2,3,20.20930676,34.9,29.01047197
84,12049,637.5817338,27228,15.44733363,24.88247392,11.39635669,18257,1,4,19.16888247,35.3,42.70511302
85,12051,1156.228494,40127,13.17566726,26.37625539,25.74824931,18900,2,3,19.79327403,35.1,34.70507794
86,12053,472.7761496,182696,27.54138022,14.07693655,12.46168498,24551,14,44,19.21522308,31.5,386.4323531
87,12055,1017.289538,102101,34.80083447,18.93321319,12.522894,23722,8,38,18.73496139,33.3,100.365723
88,12057,1021.84785,1378883,13.75577188,15.08191776,12.91784727,31173,98,460,17.45554437,23.1,1349.401479
89,12059,478.8564066,19430,19.80957283,23.08800823,17.16932578,18574,2,3,20.85774723,37.6,40.57583804
90,12061,502.7834962,150984,31.61593281,12.02908918,11.97080485,35172,13,43,15.48721559,25.6,300.296253
91,12063,918.1761109,48472,18.52822248,17.21612477,9.560158442,18882,3,7,23.05529709,37.2,52.79161527
92,12069,950.6974886,335362,26.2853275,12.32548709,11.44136784,27052,19,129,16.84582545,29,352.7536404
93,12071,782.0161715,718679,27.55360877,13.77096033,14.15680714,31924,91,151,14.34388772,24.8,919.0078494
94,12073,666.8313661,288102,12.3914447,19.47365863,8.139478379,29754,36,61,17.32757863,21.8,432.0462633
95,12079,696.5285814,18474,19.71419292,24.9160983,11.67586879,19223,2,4,20.6866967,33.1,26.52296043
96,12081,743.1328657,373853,26.46147015,12.31339591,12.6375875,32070,21,113,15.21862411,24.4,503.0769291
97,12083,1588.406374,348371,28.3843948,16.15059807,12.00817519,24570,30,116,18.66500418,33,219.3210791
98,12085,543.7849085,157581,30.08674904,10.28804234,11.27229806,40389,17,66,14.3212814,22.5,289.7855338
99,12086,1898.751735,2715516,15.59014935,17.77400686,17.96653012,26838,192,858,16.47941001,24.5,1430.158535
100,12089,648.6801841,80578,20.89279952,10.13552086,10.90992579,35335,3,9,19.38886901,24.6,124.2183775
101,12091,930.2328505,200737,15.4445867,11.17133364,11.47820282,31901,15,51,18.46803109,28.1,215.7922072
102,12093,768.8558285,40572,19.20782806,20.93808538,16.82441092,19943,3,8,21.46020926,37.5,52.76932098
103,12095,902.5389205,1321194,11.37334865,15.67710722,14.41400733,28859,67,349,15.59988113,24.6,1463.86374
104,12097,1327.710539,338619,12.75415733,16.18013165,15.72386665,21331,14,66,17.79141006,30.9,255.0397772
105,12099,1965.621397,1446277,23.29484601,12.64370518,13.5043287,37998,116,427,15.91610596,23.4,735.78615
106,12101,746.668206,510593,22.47661053,13.228736,11.71285153,27786,29,143,18.62961317,29.9,683.8285009
107,12103,273.7488856,957875,23.85436513,12.8510505,11.32266736,33478,76,285,16.41154199,24.4,3499.101002
108,12105,1797.159744,668671,19.97065822,16.26435123,13.00131156,23812,41,145,19.13550896,28.8,372.0709871
109,12107,727.8667788,72766,22.35934365,24.25995657,15.76148201,19976,5,10,23.62047179,36.8,99.97159112
110,12109,600.7135477,235503,19.20952175,8.348088984,8.328980947,41393,6,47,15.05904672,21.1,392.0387694
111,12111,571.6841468,305591,23.26933712,14.8944177,13.93758324,25736,18,77,18.06928261,29.8,534.545171
112,12113,1012.378991,170442,15.36769106,9.457176048,9.473017214,30904,6,20,19.21804774,29.7,168.3578991
113,12115,556.8682991,412144,35.38593307,9.524583641,11.25674522,39364,35,128,15.03047218,22,740.1103648
114,12117,309.4007157,455086,14.82423102,11.30379752,10.30728258,33419,9,39,15.64200647,20.3,1470.86279
115,12119,557.1124557,120999,55.59632724,8.131472161,5.686823858,33629,11,62,12.20471541,21.9,217.1895436
116,12121,688.5519592,43924,20.11656498,17.14324743,13.42546216,21755,2,4,22.56795642,37,63.79184521
117,12123,1043.31735,22098,19.10580143,16.14625758,9.023441035,16919,2,6,23.78792935,34.6,21.18051617
118,12125,243.5558042,15239,14.50882604,13.98385721,7.933591443,15475,1,25,23.26413847,32.2,62.56882299
119,12127,1101.242632,527634,23.78656417,14.91564228,12.34075135,27272,33,264,18.36018578,28.9,479.1260206
120,12131,1037.741777,65858,19.41146102,14.21391479,13.0690273,33731,4,28,21.24002419,31.7,63.46280111
121,12133,584.6762505,24566,17.35325246,19.95033787,11.42636164,18112,2,4,22.89872042,35.6,42.01641503
122,13001,508.2736589,18454,16.53841985,22.71052346,15.24330768,20421,2,3,20.18941483,37.9,36.30721301
123,13005,284.0846126,11228,15.14071963,25.51656573,17.83042394,19634,1,4,19.37887099,34.4,39.52343598
124,13009,258.6989748,45286,14.96268162,23.93234112,11.14693283,20305,2,12,19.8179384,26.2,175.0528777
125,13013,161.0363032,76887,11.94870394,12.05535396,14.87247519,23638,2,6,17.08354859,28.8,477.4513478
126,13015,459.5210992,103620,13.3671106,13.01872225,14.70469021,25712,5,21,19.17636642,32.1,225.4956305
127,13017,250.1220447,17154,16.21196222,30.91990206,16.89984843,17563,2,5,20.56249755,38.5,68.58251947
128,13019,453.3763642,19025,17.1826544,25.93955322,21.35611038,18611,1,9,20.00949732,29.8,41.9629286
129,13021,249.3983297,153490,14.82637305,24.53840641,13.08033097,24409,25,126,19.06692325,31.2,615.4411707
130,13023,215.869927,12775,16.81409002,18.37181996,10.1369863,18519,1,3,18.01917368,32.2,59.1791556
131,13027,493.0942658,15622,19.0692613,26.8083472,20.68877224,23421,1,4,18.90686641,30,31.68156899
132,13031,675.9458451,74782,10.93177503,25.51282394,13.24516595,21207,4,31,19.37250384,28.1,110.6331233
133,13033,827.0345423,22550,14.62971175,24.49223947,13.44567627,21334,1,7,20.50694772,26.6,27.2660921
134,13035,183.6898725,23750,15.06947368,20.98947368,9.191578947,22360,2,4,19.24937502,26.9,129.2940088
135,13039,630.3011883,52714,12.20928027,12.41795348,10.81116971,28509,2,5,16.87588223,34,83.63303287
136,13043,243.0591978,10827,17.0407315,31.92943567,20.49505865,18718,2,6,21.66647768,32.6,44.54470392
137,13045,499.0275164,116022,13.05959215,18.1758632,12.11666753,24155,11,28,18.04092595,35.9,232.4961975
138,13047,162.1623941,66299,16.77099202,9.690945565,11.92476508,26915,2,6,14.99833827,31.5,408.8432486
139,13051,433.1230066,287049,14.42366983,15.04377301,14.147062,30664,42,89,17.08011423,26,662.7424441
140,13053,248.7370436,10767,3.798644005,11.15445342,3.575740689,23651,0,0,17.96519498,22.2,43.28667674
141,13057,421.0827875,241910,12.85602083,8.029019057,10.84700922,35199,6,20,14.56346013,25.2,574.4951045
142,13059,119.2184153,124602,10.27832619,28.6135054,13.90106098,22589,16,99,20.13169477,25.5,1045.157325
143,13063,141.6724613,278666,8.735547214,19.60590815,18.97002146,20419,7,35,18.62880992,34,1966.973662
144,13065,814.9953657,6743,15.17128874,38.63265609,20.94023432,16538,1,3,23.64821213,27.3,8.273666678
145,13067,339.7560777,745057,11.4242266,9.856829746,12.91001896,38268,67,98,12.63402736,22.4,2192.917357
146,13069,592.2973368,42961,13.33302297,20.25790834,17.64856498,19709,3,10,19.70080576,33.2,72.53282656
