fips,County_Name,State,Country,Lat,Long_,Combined_Key,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,88
1021,Chilton,Alabama,US,32.85044,-86.71733,"Chilton, Alabama, US",2.276349,9.105395,13.65809,15.93444,15.93444,22.76349,25.03984,29.59253,31.86888,34.14523,34.14523,34.14523,43.25063,45.52697,45.52697,56.90872,59.18507,68.29046,68.29046,75.11951,75.11951,79.67221,84.2249,84.2249,88.7776,93.3303,97.883,100.1593,104.712,106.9884,111.5411,111.5411,116.0938,116.0938,118.3701,120.6465,120.6465,118.3701,122.9228,129.7519,132.0282,136.5809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1023,Choctaw,Alabama,US,32.02227,-88.26564,"Choctaw, Alabama, US",7.648184,7.648184,7.648184,7.648184,15.29637,22.94455,30.59273,30.59273,30.59273,30.59273,38.24092,38.24092,45.8891,45.8891,45.8891,45.8891,61.18547,76.48184,76.48184,91.7782,91.7782,99.42639,99.42639,107.0746,107.0746,130.0191,137.6673,160.6119,168.26,191.2046,191.2046,244.7419,298.2792,298.2792,298.2792,328.8719,374.761,374.761,374.761,390.0574,413.0019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1025,Clarke,Alabama,US,31.681,-87.83549,"Clarke, Alabama, US",8.201091,12.30164,24.60327,32.80436,36.90491,41.00545,41.00545,49.20654,53.30709,61.50818,77.91036,77.91036,86.11145,86.11145,98.41309,98.41309,98.41309,98.41309,98.41309,98.41309,102.5136,102.5136,98.41309,98.41309,102.5136,110.7147,114.8153,123.0164,131.2175,139.4185,155.8207,172.2229,176.3235,176.3235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1027,Clay,Alabama,US,33.26984,-85.85836,"Clay, Alabama, US",7.474959,7.474959,7.474959,14.94992,14.94992,14.94992,14.94992,14.94992,44.84975,59.79967,59.79967,67.27463,67.27463,67.27463,74.74959,82.22455,82.22455,89.69951,104.6494,104.6494,104.6494,104.6494,104.6494,104.6494,127.0743,134.5493,142.0242,142.0242,142.0242,142.0242,142.0242,142.0242,142.0242,142.0242,142.0242,156.9741,156.9741,156.9741,156.9741,164.4491,164.4491,179.399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1031,Coffee,Alabama,US,31.39933,-85.98901,"Coffee, Alabama, US",1.949774,1.949774,9.748869,13.64842,13.64842,15.59819,15.59819,15.59819,25.34706,27.29683,33.14616,60.44299,70.19186,70.19186,77.99095,91.63937,99.43847,107.2376,115.0367,124.7855,132.5846,142.3335,155.9819,169.6303,169.6303,185.2285,191.0778,204.7263,208.6258,216.4249,228.1235,230.0733,253.4706,261.2697,261.2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1033,Colbert,Alabama,US,34.69847,-87.80169,"Colbert, Alabama, US",1.835031,1.835031,1.835031,1.835031,3.670061,7.340123,7.340123,7.340123,9.175154,9.175154,9.175154,11.01018,11.01018,12.84522,12.84522,12.84522,14.68025,14.68025,16.51528,18.35031,20.18534,20.18534,22.02037,23.8554,27.52546,29.36049,29.36049,29.36049,36.70061,40.37068,42.20571,42.20571,42.20571,42.20571,49.54583,49.54583,53.21589,60.55601,67.89614,75.23626,75.23626,77.07129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,Conecuh,Alabama,US,31.43402,-86.9932,"Conecuh, Alabama, US",7.99105,7.99105,15.9821,15.9821,15.9821,15.9821,31.9642,31.9642,23.97315,23.97315,39.95525,39.95525,39.95525,39.95525,63.9284,63.9284,79.9105,79.9105,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,71.91945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1039,Covington,Alabama,US,31.24779,-86.45051,"Covington, Alabama, US",2.677304,5.354609,5.354609,5.354609,5.354609,8.031913,8.031913,10.70922,10.70922,10.70922,10.70922,13.38652,24.09574,26.77304,26.77304,29.45035,34.80496,34.80496,42.83687,45.51418,48.19148,50.86879,56.22339,58.9007,64.25531,69.60992,72.28722,77.64183,82.99644,82.99644,88.35105,91.02835,93.70566,96.38296,96.38296,101.7376,115.1241,120.4787,120.4787,123.156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1041,Crenshaw,Alabama,US,31.72942,-86.31593,"Crenshaw, Alabama, US",7.212405,7.212405,7.212405,7.212405,7.212405,7.212405,7.212405,7.212405,14.42481,14.42481,14.42481,14.42481,14.42481,14.42481,14.42481,14.42481,21.63722,21.63722,21.63722,21.63722,36.06203,36.06203,43.27443,43.27443,43.27443,43.27443,43.27443,57.69924,72.12405,72.12405,79.33646,86.54886,115.3985,122.6109,137.0357,137.0357,151.4605,165.8853,180.3101,187.5225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1043,Cullman,Alabama,US,34.1302,-86.86888,"Cullman, Alabama, US",2.42975,2.42975,2.42975,3.644625,4.8595,7.28925,7.28925,8.504124,8.504124,9.718999,9.718999,10.93387,10.93387,18.22312,18.22312,18.22312,24.2975,25.51237,26.72725,26.72725,36.44625,37.66112,47.38012,47.38012,48.595,48.595,48.595,64.38837,51.02475,51.02475,53.4545,54.66937,53.4545,53.4545,57.09912,57.09912,60.74375,63.1735,63.1735,66.81812,66.81812,69.24787,69.24787,70.46275,70.46275,70.46275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
