fips,UID,iso2,iso3,code3,Admin2,Province_State,Country_Region,Lat,Long_,Combined_Key,X1.22.20,X1.23.20,X1.24.20,X1.25.20,X1.26.20,X1.27.20,X1.28.20,X1.29.20,X1.30.20,X1.31.20,X2002.01.20,X2002.02.20,X2002.03.20,X2002.04.20,X2002.05.20,X2002.06.20,X2002.07.20,X2002.08.20,X2002.09.20,X2002.10.20,X2002.11.20,X2002.12.20,X2.13.20,X2.14.20,X2.15.20,X2.16.20,X2.17.20,X2.18.20,X2.19.20,X2.20.20,X2.21.20,X2.22.20,X2.23.20,X2.24.20,X2.25.20,X2.26.20,X2.27.20,X2.28.20,X2.29.20,X2003.01.20,X2003.02.20,X2003.03.20,X2003.04.20,X2003.05.20,X2003.06.20,X2003.07.20,X2003.08.20,X2003.09.20,X2003.10.20,X2003.11.20,X2003.12.20,X3.13.20,X3.14.20,X3.15.20,X3.16.20,X3.17.20,X3.18.20,X3.19.20,X3.20.20,X3.21.20,X3.22.20,X3.23.20,X3.24.20,X3.25.20,X3.26.20,X3.27.20,X3.28.20,X3.29.20,X3.30.20,X3.31.20,X2004.01.20,X2004.02.20,X2004.03.20,X2004.04.20,X2004.05.20,X2004.06.20,X2004.07.20,X2004.08.20,X2004.09.20,X2004.10.20,X2004.11.20,X2004.12.20,X4.13.20,X4.14.20,X4.15.20,X4.16.20,X4.17.20,X4.18.20,X4.19.20,X4.20.20,X4.21.20,X4.22.20,X4.23.20,X4.24.20,X4.25.20,X4.26.20,X4.27.20,X4.28.20,X4.29.20,X4.30.20,X2005.01.20,X2005.02.20,X2005.03.20,X2005.04.20,X2005.05.20
1001,1001,US,USA,840,Autauga,Alabama,US,32.53952745,-86.64408227,"Autauga, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.811594203,7.246376812,10.86956522,10.86956522,10.86956522,10.86956522,10.86956522,12.68115942,14.49275362,18.11594203,21.73913043,21.73913043,21.73913043,21.73913043,21.73913043,21.73913043,27.17391304,30.79710145,34.42028986,34.42028986,34.42028986,41.66666667,43.47826087,47.10144928,47.10144928,45.28985507,47.10144928,50.72463768,54.34782609,57.97101449,59.7826087,65.2173913,65.2173913,67.02898551,70.65217391,72.46376812,77.89855072,79.71014493,76.08695652,81.52173913,86.95652174,96.01449275,96.01449275
1003,1003,US,USA,840,Baldwin,Alabama,US,30.72774991,-87.72207058,"Baldwin, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.480522039,0.480522039,0.480522039,0.480522039,0.480522039,0.961044078,0.961044078,0.961044078,1.441566117,1.922088157,1.922088157,2.402610196,2.402610196,4.805220391,7.207830587,8.649396705,9.129918744,9.610440783,11.53252894,13.4546171,13.93513914,13.93513914,18.25983749,20.18192564,21.14296972,26.90923419,28.35080031,31.71445458,34.11706478,34.59758682,41.80541741,43.72750556,48.53272595,49.49377003,52.37690227,53.81846838,56.22107858,59.10421081,63.42890917,68.7146516,70.63673975,70.63673975,77.3640483,80.72770258,82.16926869,83.61083481,83.61083481,84.09135685,86.97448908,89.85762132,90.33814336,90.8186654
1005,1005,US,USA,840,Barbour,Alabama,US,31.868263,-85.3871286,"Barbour, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.878675045,7.757350089,7.757350089,7.757350089,11.63602513,11.63602513,15.51470018,34.9080754,34.9080754,38.78675045,38.78675045,42.66542549,46.54410054,54.30145062,58.18012567,69.8161508,77.57350089,85.33085098,108.6029012,112.4815763,116.3602513,124.1176014,124.1176014,127.9962765,135.7536266,143.5109767,143.5109767,151.2683267,162.9043519,166.7830269,174.540377,174.540377,182.2977271
1007,1007,US,USA,840,Bibb,Alabama,US,32.99642064,-87.1251146,"Bibb, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.878235007,13.31735251,13.31735251,17.75647001,17.75647001,17.75647001,22.19558752,31.07382252,35.51294003,39.95205753,39.95205753,48.83029254,57.70852754,71.02588006,75.46499756,75.46499756,79.90411506,97.66058508,106.5388201,115.4170551,124.2952901,142.0517601,142.0517601,150.9299951,146.4908776,150.9299951,150.9299951,168.6864651,186.4429351,186.4429351,186.4429351,186.4429351,186.4429351,186.4429351,190.8820526,186.4429351,190.8820526
1009,1009,US,USA,840,Blount,Alabama,US,33.98210918,-86.56790593,"Blount, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.734755833,3.469511666,6.939023332,8.673779166,8.673779166,8.673779166,8.673779166,8.673779166,10.408535,15.6128025,17.34755833,17.34755833,17.34755833,17.34755833,17.34755833,19.08231416,20.81707,20.81707,22.55182583,24.28658166,27.75609333,29.49084916,31.225605,34.69511666,34.69511666,36.4298725,38.16462833,45.10365166,50.30791916,53.77743083,53.77743083,53.77743083,58.98169833,58.98169833,58.98169833,62.45120999,64.18596583,67.65547749,69.39023332,69.39023332,69.39023332,69.39023332
1011,1011,US,USA,840,Bullock,Alabama,US,32.10030533,-85.71265535,"Bullock, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.31993818,19.31993818,28.97990726,28.97990726,28.97990726,28.97990726,28.97990726,19.31993818,19.31993818,19.31993818,19.31993818,19.31993818,19.31993818,28.97990726,28.97990726,38.63987635,38.63987635,38.63987635,48.29984544,77.2797527,77.2797527,77.2797527,77.2797527,86.93972179,86.93972179,106.25966,106.25966,106.25966,115.9196291,115.9196291,115.9196291,115.9196291,115.9196291,115.9196291,115.9196291,125.5795981,135.2395672,135.2395672,135.2395672,154.5595054,173.8794436
1013,1013,US,USA,840,Butler,Alabama,US,31.75300095,-86.68057478,"Butler, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.993757803,4.993757803,4.993757803,4.993757803,4.993757803,4.993757803,4.993757803,4.993757803,4.993757803,4.993757803,4.993757803,4.993757803,4.993757803,9.987515605,9.987515605,14.98127341,14.98127341,29.96254682,34.95630462,39.95006242,39.95006242,44.94382022,54.93133583,79.90012484,64.91885144,69.91260924,69.91260924,74.90636704,84.89388265,94.88139825,104.8689139,104.8689139,159.8002497,169.7877653,224.7191011,249.6878901,264.6691635,324.5942572,459.4257179,524.3445693,569.2883895,599.2509363
1015,1015,US,USA,840,Calhoun,Alabama,US,33.77483727,-85.82630386,"Calhoun, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.868824828,0.868824828,0.868824828,0.868824828,0.868824828,1.737649655,1.737649655,1.737649655,1.737649655,2.606474483,2.606474483,2.606474483,6.95059862,7.819423448,9.557073103,10.42589793,15.6388469,18.24532138,19.98297103,29.54004414,35.62181793,42.57241655,46.04771586,46.91654069,49.52301517,51.26066482,52.99831448,53.86713931,53.86713931,53.86713931,54.73596413,57.34243862,61.68656276,69.5059862,72.11246069,73.85011034,76.45658482,77.32540965,77.32540965,79.06305931,78.19423448,79.93188413,80.80070896,81.66953379,80.80070896,85.1448331,91.22660689,91.22660689,99.04603034
1017,1017,US,USA,840,Chambers,Alabama,US,32.91360079,-85.39072749,"Chambers, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9563058,5.912611601,2.9563058,5.912611601,5.912611601,14.781529,29.563058,38.4319754,38.4319754,50.2571986,79.82025661,97.55809141,106.4270088,124.1648436,198.0724886,236.504464,257.1986046,263.1112162,277.8927452,298.5868858,322.2373322,446.4021758,496.6593744,535.0913498,585.3485485,626.7368297,638.5620529,653.3435819,682.9066399,697.6881689,709.5133921,724.2949211,759.7705907,765.6832023,798.2025661,812.9840951,833.6782357,833.6782357,842.5471531,854.3723763,860.2849879,866.1975995,872.1102111,857.3286821,869.1539053,886.8917401,892.8043517,898.7169633
1019,1019,US,USA,840,Cherokee,Alabama,US,34.17805983,-85.60638968,"Cherokee, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.868023053,3.868023053,3.868023053,3.868023053,7.736046107,7.736046107,7.736046107,7.736046107,15.47209221,19.34011527,23.20813832,23.20813832,23.20813832,23.20813832,27.07616137,27.07616137,27.07616137,27.07616137,30.94418443,34.81220748,34.81220748,34.81220748,42.54825359,46.41627664,46.41627664,46.41627664,46.41627664,50.28429969,50.28429969,46.41627664,46.41627664,46.41627664,54.15232275,54.15232275,58.0203458,58.0203458,58.0203458,58.0203458,58.0203458,61.88836885,61.88836885,65.75639191
1021,1021,US,USA,840,Chilton,Alabama,US,32.85044126,-86.7173256,"Chilton, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.276348737,9.105394947,13.65809242,15.93444116,15.93444116,22.76348737,25.0398361,29.59253358,31.86888231,34.14523105,34.14523105,34.14523105,43.250626,45.52697473,45.52697473,56.90871842,59.18506715,68.2904621,68.2904621,75.11950831,75.11950831,79.67220578,84.22490326,84.22490326,88.77760073,93.3302982,97.88299567,100.1593444,104.7120419,106.9883906,111.5410881,111.5410881,116.0937856,116.0937856,118.3701343,120.646483,120.646483,118.3701343,122.9228318,129.751878,132.0282267,136.5809242
1023,1023,US,USA,840,Choctaw,Alabama,US,32.02227341,-88.2656443,"Choctaw, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.648183556,7.648183556,7.648183556,7.648183556,15.29636711,22.94455067,30.59273423,30.59273423,30.59273423,30.59273423,38.24091778,38.24091778,45.88910134,45.88910134,45.88910134,45.88910134,61.18546845,76.48183556,76.48183556,91.77820268,91.77820268,99.42638623,99.42638623,107.0745698,107.0745698,130.0191205,137.667304,160.6118547,168.2600382,191.2045889,191.2045889,244.7418738,298.2791587,298.2791587,298.2791587,328.8718929,374.7609943,374.7609943,374.7609943,390.0573614,413.001912
1025,1025,US,USA,840,Clarke,Alabama,US,31.68099859,-87.83548597,"Clarke, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.201090745,12.30163612,24.60327224,32.80436298,36.90490835,41.00545373,41.00545373,49.20654447,53.30708984,61.50818059,77.91036208,77.91036208,86.11145282,86.11145282,98.41308894,98.41308894,98.41308894,98.41308894,98.41308894,98.41308894,102.5136343,102.5136343,98.41308894,98.41308894,102.5136343,110.7147251,114.8152704,123.0163612,131.2174519,139.4185427,155.8207242,172.2229056,176.323451,176.323451
1027,1027,US,USA,840,Clay,Alabama,US,33.26984193,-85.85836077,"Clay, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.474958888,7.474958888,7.474958888,14.94991778,14.94991778,14.94991778,14.94991778,14.94991778,44.84975333,59.7996711,59.7996711,67.27462999,67.27462999,67.27462999,74.74958888,82.22454776,82.22454776,89.69950665,104.6494244,104.6494244,104.6494244,104.6494244,104.6494244,104.6494244,127.0743011,134.54926,142.0242189,142.0242189,142.0242189,142.0242189,142.0242189,142.0242189,142.0242189,142.0242189,142.0242189,156.9741366,156.9741366,156.9741366,156.9741366,164.4490955,164.4490955,179.3990133
1031,1031,US,USA,840,Coffee,Alabama,US,31.39932826,-85.98901039,"Coffee, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.949773826,0,0,0,0,0,0,1.949773826,9.748869131,13.64841678,13.64841678,15.59819061,15.59819061,15.59819061,25.34705974,27.29683357,33.14615505,60.44298861,70.19185774,70.19185774,77.99095305,91.63936983,99.43846514,107.2375604,115.0366557,124.7855249,132.5846202,142.3334893,155.9819061,169.6303229,169.6303229,185.2285135,191.077835,204.7262518,208.6257994,216.4248947,228.1235377,230.0733115,253.4705974,261.2696927,261.2696927
1033,1033,US,USA,840,Colbert,Alabama,US,34.69847452,-87.80168544,"Colbert, Alabama, US",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.835030737,1.835030737,1.835030737,1.835030737,3.670061474,7.340122947,7.340122947,7.340122947,9.175153684,9.175153684,9.175153684,11.01018442,11.01018442,12.84521516,12.84521516,12.84521516,14.68024589,14.68024589,16.51527663,18.35030737,20.1853381,20.1853381,22.02036884,23.85539958,27.52546105,29.36049179,29.36049179,29.36049179,36.70061474,40.37067621,42.20570695,42.20570695,42.20570695,42.20570695,49.54582989,49.54582989,53.21589137,60.55601431,67.89613726,75.23626021,75.23626021,77.07129094
